split,class_label,count,pct
hold,no-damage,39226,0.7211722312104721
hold,minor-damage,6338,0.1165244888954258
hold,major-damage,4605,0.08466318576261214
hold,destroyed,4223,0.07764009413148992
tier1,no-damage,120419,0.7397335168041674
tier1,minor-damage,14980,0.0920220902160492
tier1,major-damage,14161,0.08699097593788202
tier1,destroyed,13227,0.08125341704190138
test,no-damage,42439,0.7735591119536291
test,minor-damage,4798,0.08745579818453575
test,major-damage,3850,0.07017607815974627
test,destroyed,3775,0.06880901170208888
